Darkspace,Dark Space III,2008,3.73,2477,Atmospheric Black Metal:Black Metal:,Dark Ambient:,dark:space:cold:dense:atmospheric:ominous:noisy:raw:nocturnal:hypnotic:aggressive:vocals:lo-fi:,79:14
Ryoji Ikeda,Dataplex,2005,3.6,3224,Microsound:Glitch:,Minimal Techno:,mechanical:futuristic:minimalistic:rhythmic:sparse:cold:avant-garde:atonal:instrumental:noisy:repetitive:complex:hypnotic:signatures:atmospheric:,55:31
Sodom,Decision Day,2016,3.2,511,Thrash Metal:,,aggressive:war:energetic:vocals:,50:47
Behemoth,Demigod,2004,3.48,3088,Death Metal:,,dense:infernal:technical:hateful:triumphant:occult:satanic:heavy:mythology:aggressive:apocalyptic:anti-religious:rebellious:vocals:misanthropic:chaotic:angry:,41:20
David Bromberg,Demon in Disguise,1972,3.63,130,Singer/Songwriter:Contemporary Folk:,Bluegrass:Country Blues:,psychedelic:acoustic:eclectic:vocals:,40:35
Chet Baker,Diane,1985,3.69,252,Cool Jazz:,Vocal Jazz:,romantic:longing:calm:minimalistic:lonely:melancholic:nocturnal:urban:sparse:,
Sunny Day Real Estate,Diary,1994,3.74,9359,Midwest Emo:,Post-Hardcore:,melancholic:passionate:vocals:sad:introspective:serious:anxious:bittersweet:depressive:sentimental:melodic:lonely:energetic:atmospheric:alienation:,52:46
China Crisis,"Difficult Shapes &amp; Passive Rhythms, Some People Think It's Fun to Entertain",1982,3.5,415,Synthpop:New Wave:Sophisti-Pop:,Art Pop:,playful:vocals:melodic:,39:25
Dazzling Killmen,Dig Out the Switch,1992,3.45,220,Math Rock:Post-Hardcore:,Noise Rock:,misanthropic:chaotic:technical:raw:complex:vocals:aggressive:signatures:,56:11
Fear Factory,Digimortal,2001,3.03,1576,Industrial Metal:,Groove Metal:Nu Metal:Cyber Metal:Alternative Metal:,fiction:futuristic:dark:melodic:mechanical:misanthropic:aggressive:vocals:heavy:,43:36
Dinosaur,Dinosaur,1985,3.31,2601,Indie Rock:Noise Rock:Alternative Rock:Lo-Fi / Slacker Rock:,Post-Hardcore:Lo-Fi / Slacker Rock:,lo-fi:raw:noisy:vocals:psychedelic:melodic:heavy:forest:,36:28
Katatonia,Discouraged Ones,1998,3.68,2572,Gothic Metal:,Doom Metal:Shoegaze:Alternative Metal:,depressive:melancholic:vocals:cold:lonely:apathetic:atmospheric:dark:introspective:raw:alienation:pessimistic:hypnotic:heavy:suicide:passionate:ethereal:melodic:autumn:lethargic:,46:49
Dome,Dome 2,1980,3.35,257,Experimental Rock:Industrial:Post-Punk:,Ambient:Minimal Wave:Post-Punk:,surreal:,
Bane,Don't Wait Up,2014,3.36,216,Hardcore Punk:,Melodic Hardcore:,,31:10
The Flying Eyes,Done So Wrong,2011,3.33,123,Psychedelic Rock:Heavy Psych:,Stoner Rock:,psychedelic:raw:mellow:,39:56
Doug Sahm,Doug Sahm and Band,1973,3.7,244,Country Rock:Progressive Country:,Roots Rock:Tex-Mex:Blues Rock:,melodic:,44:43
Down,Down III: Over the Under,2007,3.49,1421,Stoner Metal:Southern Metal:Southern Rock:,Southern Rock:Blues Rock:,passionate:vocals:aggressive:heavy:rhythmic:angry:dark:,60:24
Mujuice,Downshifting,2011,3.23,285,Synthpop:,Indietronica:Glitch Pop:,,51:57
Prince Far I &amp; The Arabs,Dub to Africa,1979,3.63,404,Dub:,,instrumental:rhythmic:repetitive:spiritual:atmospheric:hypnotic:warm:,
Ondskapt,Dödens evangelium,2005,3.51,504,Black Metal:,,religious:dark:aggressive:satanic:vocals:,53:30
Andrew Chalk,East of the Sun,1994,3.46,162,Drone:Ambient:,Field Recordings:,ominous:dark:cold:atmospheric:instrumental:,
Lone,Ecstasy &amp; Friends,2009,3.29,377,Instrumental Hip Hop:Wonky:,Glitch Hop:,,44:32
Rosalía,El mal querer,2018,3.6,5826,Flamenco Pop:Flamenco nuevo:Art Pop:,Alternative R&amp;B:,album:passionate:vocals:melodic:folklore:love:rhythmic:breakup:sampling:ethereal:poetic:eclectic:introspective:sentimental:longing:progressive:sensual:anthemic:spiritual:signatures:,30:14
Elis Regina,Elis &amp; Tom,1974,3.8,2091,Bossa nova:,MPB:Vocal Jazz:Samba:Samba-Jazz:,ballad:vocals:vocals:melodic:summer:melancholic:warm:peaceful:nocturnal:poetic:,36:33
Guthrie Govan,Erotic Cakes,2006,3.68,646,Jazz Fusion:Progressive Rock:,Hard Rock:Progressive Rock:,technical:melodic:complex:progressive:instrumental:energetic:,54:54
Senza,Even a Worm Will Turn,2019,3.45,619,Emoviolence:,Mathcore:Black Metal:,aggressive:passionate:vocals:ominous:chaotic:dark:atmospheric:anxious:dissonant:nocturnal:,32:27
After the Burial,Evergreen,2019,3.12,296,Metalcore:,Djent:,technical:vocals:mechanical:,40:01
Various Artists,Evita: The Complete Motion Picture Music Soundtrack,1996,3.28,292,Film Soundtrack:Show Tunes:,Hispanic American Music:Rock Opera:,,108:25
Eyehategod,Eyehategod,2014,3.34,937,Sludge Metal:,Hardcore Punk:Doom Metal:Stoner Metal:,misanthropic:dark:aggressive:heavy:vocals:energetic:introspective:,43:14
Oh Sees,Face Stabber,2019,3.43,1941,Psychedelic Rock:,Krautrock:Progressive Rock:Heavy Psych:Jam Band:Jazz-Rock:Garage Rock:,psychedelic:repetitive:energetic:vocals:hypnotic:quirky:noisy:aggressive:manic:rhythmic:progressive:melodic:playful:passionate:,80:16
Delays,Faded Seaside Glamour,2004,3.48,507,Indie Pop:Dream Pop:Jangle Pop:,Britpop:Psychedelic Pop:Indie Rock:,melodic:lush:bittersweet:warm:vocals:summer:melancholic:vocals:urban:,42:06
Fields of the Nephilim,Fallen,2002,3.06,281,Gothic Rock:,Industrial Rock:Gothic Metal:,,40:17
Classixx,Faraway Reach,2016,2.95,183,Nu-Disco:Funktronica:Dance-Pop:,Tropical House:Synthpop:Balearic Beat:,warm:happy:,
u.n.p.o.c.,Fifth Column,2003,3.56,467,Lo-Fi / Slacker Rock:Indie Pop:,Psychedelic Folk:,lo-fi:melodic:mysterious:vocals:summer:warm:acoustic:bittersweet:quirky:forest:,44:09
Cave In,Final Transmission,2019,3.27,424,Post-Hardcore:Alternative Rock:,Post-Metal:Space Rock:,vocals:melancholic:energetic:heavy:passionate:progressive:sombre:psychedelic:atmospheric:dark:melodic:introspective:dense:space:,31:19
Deadguy,Fixation on a Coworker,1995,3.62,775,Mathcore:Metalcore:,Noise Rock:Post-Hardcore:,misanthropic:aggressive:chaotic:manic:noisy:technical:dissonant:heavy:vocals:violence:cryptic:angry:disturbing:,30:17
Title Fight,Floral Green,2012,3.57,1848,Post-Hardcore:Emo:,Emo:Melodic Hardcore:Shoegaze:,melancholic:introspective:vocals:noisy:passionate:atmospheric:energetic:anxious:melodic:longing:lonely:alienation:dense:bittersweet:,32:51
BRAIDS,Flourish // Perish,2013,3.2,555,Art Pop:Indietronica:,Ambient Pop:Dream Pop:Minimal Techno:,,54:11
Mimideath,Foar Everywun Frum MIMI,2020,3.32,386,Hardcore Breaks:Plunderphonics:Breakcore:,Jersey Club:Trap:Nightcore:UK Bass:Sound Collage:Experimental Hip Hop:Drum and Bass:,rhythmic:eclectic:raw:energetic:sampling:chaotic:noisy:quirky:humorous:vocals:surreal:heavy:playful:vocals:,31:04
Stevie Wonder,For Once in My Life,1968,3.45,615,Soul:Motown Sound:,,vocals:love:romantic:uplifting:melodic:rhythmic:bittersweet:passionate:playful:,33:18
Jandek,Foreign Keys,1985,3.07,128,Avant-Folk:Contemporary Folk:Experimental Rock:,Blues:,,42:01
Mono,Formica Blues,1997,3.32,440,Trip Hop:Downtempo:Cocktail Nation:,Dream Pop:Lounge:,,53:09
Shuttle358,Frame,2000,3.48,285,Ambient:Glitch:,,instrumental:hypnotic:,58:39
Françoise Hardy,Françoise Hardy [La question],1971,3.76,2887,French Pop:Chamber Folk:Chanson:,Baroque Pop:Bossa nova:,romantic:lush:vocals:mellow:melodic:melancholic:passionate:love:sensual:soft:calm:sentimental:lonely:soothing:acoustic:ethereal:,32:29
The Red Hot Chili Peppers,Freaky Styley,1985,2.85,3306,Funk Rock:Alternative Rock:,Rap Rock:P-Funk:,energetic:vocals:playful:sexual:vulgar:rhythmic:melodic:humorous:hedonistic:,39:46
Terrence Dixon,From the Far Future Pt. 2,2012,3.44,315,Detroit Techno:Minimal Techno:,,futuristic:instrumental:rhythmic:repetitive:nocturnal:mechanical:sampling:psychedelic:,76:08
Shinichi Atobe,"From the Heart, It's a Start, a Work of Art",2017,3.35,785,Dub Techno:,Ambient Techno:Ambient House:Ambient Dub:,repetitive:instrumental:warm:atmospheric:lush:summer:hypnotic:surreal:,
The Apples in stereo,Fun Trick Noisemaker,1995,3.38,1431,Indie Pop:Neo-Psychedelia:Lo-Fi / Slacker Rock:,Psychedelic Pop:,vocals:quirky:mellow:warm:lo-fi:melodic:summer:love:Sound:bittersweet:,39:53
Perfume,Game,2008,3.53,1018,Electropop:J-Pop:Dance-Pop:,Electro House:,vocals:rhythmic:happy:energetic:futuristic:uplifting:playful:warm:passionate:mellow:,55:57
Rustie,Glass Swords,2011,3.3,2539,Purple Sound:Wonky:Future Bass:,Trap [EDM]:Skweee:Wonky:,playful:energetic:lush:futuristic:instrumental:melodic:quirky:atmospheric:uplifting:psychedelic:ethereal:vocals:eclectic:,42:23
Yes,Going for the One,1977,3.62,4563,Progressive Rock:,Symphonic Prog:,progressive:complex:epic:vocals:melodic:uplifting:energetic:dense:passionate:signatures:spiritual:technical:,38:43
Bob Dylan,Good as I Been to You,1992,3.07,1481,American Folk Music:Contemporary Folk:,Acoustic Blues:,acoustic:bittersweet:mellow:vocals:sparse:melodic:,55:01
Madeon,Good Faith,2019,3.35,1194,Electropop:,Synthpop:Nu-Disco:Dance-Pop:Future Bass:,spiritual:passionate:uplifting:warm:lush:triumphant:vocals:ethereal:rhythmic:vocals:dense:mellow:complex:,35:07
Deftones,Gore,2016,3.19,4406,Alternative Metal:Alternative Rock:,Shoegaze:Post-Metal:,atmospheric:melodic:melancholic:passionate:aggressive:ethereal:vocals:anxious:cryptic:poetic:dense:energetic:heavy:warm:,48:08
Death Grips,Government Plates,2013,3.39,16407,Industrial Hip Hop:Abstract Hip Hop:Glitch Hop:Experimental Hip Hop:Deconstructed Club:,Electro-Industrial:Wonky:,manic:cryptic:futuristic:aggressive:vocals:noisy:drugs:avant-garde:anxious:misanthropic:abstract:rhythmic:sampling:chaotic:ominous:angry:violence:repetitive:mechanical:energetic:vulgar:surreal:nihilistic:disturbing:nocturnal:eclectic:hypnotic:mysterious:dark:psychedelic:,35:37
Paul Baribeau,Grand Ledge,2007,3.57,387,Anti-Folk:Singer/Songwriter:,Folk Punk:,anxious:bittersweet:longing:acoustic:romantic:urban:melodic:love:passionate:sentimental:vocals:introspective:optimistic:,
Gram Parsons,Grievous Angel,1974,3.76,2705,Country Rock:Singer/Songwriter:Country:,,pastoral:vocals:warm:introspective:mellow:longing:sentimental:acoustic:peaceful:bittersweet:melodic:sombre:,36:14
Coroner,Grin,1993,3.63,1746,Progressive Metal:Groove Metal:,,progressive:technical:vocals:serious:rhythmic:complex:angry:dark:signatures:cold:atmospheric:cryptic:heavy:poetic:,57:42
King Gizzard &amp; the Lizard Wizard,Gumboot Soup,2017,3.32,4281,Psychedelic Rock:,Psychedelic Pop:Jazz-Rock:Neo-Psychedelia:Garage Rock:Heavy Psych:,vocals:psychedelic:warm:signatures:playful:surreal:eclectic:microtonal:progressive:fantasy:abstract:mellow:hypnotic:melodic:quirky:rhythmic:,44:08
